a little,অল্প-স্বল্প
driver license,চালকের অনুমোদন
driver's licence,চালনার অনুমতিপত্র
driver's license,ড্রাইভার এর লাইসেন্স
driving away,বিতাড়ন
driving axle,ড্রাইভিং চাকার
driving ban,ড্রাইভিং নিষেধাজ্ঞা
driving belt,মেশিন চালাইবার ফিতা
driving bit,ড্রাইভিং বিট
driving box,ড্রাইভিং বক্স
driving chain,ড্রাইভিং শৃঙ্খল
driving clock,ড্রাইভিং ঘড়ি
driving face,ড্রাইভিং মুখ
driving force,চালক শক্তি
driving gear,ড্রাইভিং গিয়ার্
driving horn,ড্রাইভিং শিঙা
driving iron,ড্রাইভিং লোহা
driving licence,চালক লাইসেন্স
driving license,ড্রাইভিং লাইসেন্স
driving out,তাড়িয়ে
driving park,ড্রাইভিং পার্ক
driving plate,ড্রাইভিং প্লেট
driving power,ড্রাইভিং ক্ষমতা
driving punch,ড্রাইভিং মুষ্ট্যাঘাত
driving school,ড্রাইভিং স্কুল
driving shaft,ড্রাইভিং খাদ
driving snow,ড্রাইভিং তুষার
driving spring,ড্রাইভিং বসন্ত
driving wagon,ড্রাইভিং কামরা
driving wheel,ড্রাইভিং চাকা
drogue parachute,সমুদ্রে ফেলবার নোঙর প্যারাশুট
dromedary corps,কুঁজওয়ালা কোরের
drone bass,ড্রোন খাদ
drone bee,ড্রোন মৌমাছি
drone fly,ড্রোন মাছি
drone on,গুঁজনধ্বনি
drone out,আউট গুঁজনধ্বনি
drongo cuckoo,ফিঙে পাখি কোকিল
drongo shrike,ফিঙে পাখি শ্রাইক্
drool over,আবোলতাবোল বকা
drop anchor,নঙ্গর করা
drop arch,ড্রপ খিলান
drop away,সরে পড়া/প্রস্থান করা
drop back,ফিরে আসা
drop bar,ড্রপ বার
drop behind,পিছনে ড্রপ
drop black,কালো ড্রপ
drop bolt,ড্রপ বল্টু
drop bomb,ড্রপ বোমা
drop by,দ্বারা ড্রপ
drop chalk,ড্রপ খড়ি
drop chronograph,ড্রপ কালমাপক যঁত্র
drop cloth,ড্রপ কাপড়
drop curtain,ড্রপ পরদা
drop dead,অকালমৃত্যু
drop down,মূল্য বা উৎপাদন কমে যাওয়া
drop ear,ড্রপ কান
drop earring,ড্রপ মাকড়ি
drop elbow,ড্রপ কনুই
drop flower,ড্রপ ফুল
drop fly,ড্রপ মাছি
drop frame,ড্রপ ফ্রেম
drop game,ড্রপ খেলা
drop hammer,ড্রপ হাতুড়ি
drop hanger,ড্রপ জল্লাদ
drop in,অল্গক্ষণের জন্য দেখা করা
drop it,ফেলে দাও
drop jaw,ড্রপ চোয়াল
drop keel,ড্রপ জাহাজের তলি
drop kick,ড্রপ পদাঘাত
drop lamp,ড্রপ বাতি
drop leaf,ড্রপ পাতা
drop letter,ড্রপ চিঠি
drop light,ড্রপ আলো
drop line,ড্রপ লাইন
drop meal,ড্রপ খাবার
drop number,ড্রপ সংখ্যা
drop off,সংখ্যায় বা পরিমাণে কমে যাওয়া
drop open,খোলা ছিটা
drop out,স্কুল‐কলেজ হতে
drop panel,ড্রপ প্যানেল
drop roller,ড্রপ বেলন
drop scene,দৃশ্য ড্রপ
drop screen,ড্রপ পর্দা
drop seat,ড্রপ আসন
drop serene,নির্মেঘ ড্রপ
drop shot,শট ড্রপ
drop shutter,ড্রপ ঝিলমিল
drop siding,ড্রপ পক্ষাবলম্বন
drop stitch,ড্রপ সেলাই
drop strike,ড্রপ ধর্মঘট
drop table,ড্রপ টেবিল
drop through,ব্যর্থ/পণ্ড হওয়া
drop weight,ড্রপ ওজন
drop worm,ড্রপ কীট
drop zinc,ড্রপ দস্তা
dropped egg,বাদ ডিমের
dropping zone,ড্রপ জোন
dropsy plant,ঘুস উদ্ভিদ
drove chisel,বাটালি তাড়িয়ে
drown out,মজান
drowse off,বন্ধ তন্দ্রালু
drowsy hood,নিদ্রালু ফণা
drowsy stupor,ঢুল
drug abuse,ওষুধের অপব্যবহার
drug addict,মাদকাসক্ত
drug addiction,মাদকাসক্তি
drug baron,ড্রাগ ব্যারন
drug bust,ড্রাগ বক্ষ
drug carriage,ড্রাগ গাড়ি
drug cartel,ড্রাগ কার্টেল
drug clerk,ড্রাগ কেরানি
drug cocktail,ড্রাগ ককটেল
drug company,ড্রাগ কোম্পানি
drug dealer,মাদক বিক্রেতা
drug house,ঔষধালয়
drug intoxication,মাদক নেশা
drug mixer,ড্রাগ মিশুক
drug peddler,মাদক
drug stores,ড্রাগ দোকানে
drug traffic,ড্রাগ ট্রাফিক
drug trafficker,মাদক
drug trafficking,মাদক পাচার
drug user,ড্রাগ ব্যবহারকারী
drug war,ড্রাগ যুদ্ধ
drug withdrawal,ড্রাগ প্রত্যাহারের
drugs bust,ওষুধের বক্ষ
drugstore beetle,ঔষধের দোকান পোকা
drum armature,ড্রাম বর্ম
drum beats,ড্রাম বিটের
drum brake,ড্রাম ব্রেক
drum controller,ড্রাম নিয়ামক
drum dam,ড্রাম বাঁধ
drum escapement,ড্রাম পলায়নের উপায়
drum fish,ড্রাম মাছ
drum heads,ড্রাম মাথা
drum language,ড্রাম ভাষা
drum out,আউট ঢাকি
drum puller,আকর্ষণকারী ড্রাম
drum rolls,ড্রাম রোলস
drum saw,ড্রাম করাত
drum scale,ড্রাম স্কেল
drum screen,ড্রাম পর্দা
drum sieve,ড্রাম চালনী
drum skin,ড্রাম চামড়া
drum spool,ড্রাম নাটাই
drum stuffing,ড্রাম ঠাসাঠাসি
drum switch,ড্রাম সুইচ
drum wheel,ড্রাম চাকা
drum winding,ঘুর ড্রাম
drumstick tree,সজনে গাছের
drunken plant,মাতাল উদ্ভিদ
drunken reveler,উন্মত্ত হুল্লোড়বাজ
drunken reveller,উন্মত্ত হুল্লোড়বাজ
drunken revelry,উন্মত্ত হুল্লোড়
drunken wise,মাতাল জ্ঞানী
dry air,শুকনো বাতাস
dry battery,শুষ্ক ব্যাটারি
dry cell,শুষ্ক কোষ
dry cereal,শুষ্ক শস্যদানা
dry cleaner,শুষ্ক পরিষ্কারক
dry cleaners,শুকানোর যন্ত্র
dry cooper,শুষ্ক কুপার
dry cultivation,অজল চাষ
dry dock,শুষ্ক পোতাশ্রয়
dry farming,শুষ্ক চাষ
dry gangrene,শুকনো পচা ঘা
dry goods,শুকনো মালামাল
dry grass,শুকনো ঘাস
dry house,শুষ্ক ঘর
dry ice,শুষ্ক বরফ
dry kiln,শুষ্ক ভাটি
dry masonry,শুষ্ক রাজমিস্ত্রির
dry measure,শুষ্ক পরিমাপ
dry milk,শুষ্ক দুধ
dry mixer,শুষ্ক মিশুক
dry mop,শুষ্ক ভেংচি
dry mouth,শুকনো মুখ
dry mustard,শুষ্ক সরিষা
dry nurse,শুষ্ক নার্সের
dry off,বন্ধ শুকিয়ে
dry out,শুকিয়ে তোলা
dry pint,শুষ্ক পাঁইট
dry pipe,শুষ্ক পাইপ
dry plate,শুষ্ক প্লেট
dry quart,শুষ্ক গ্যালনের চতুর্থাংশ
dry run,শুষ্ক চালান
dry season,শুষ্ক মৌসুম
dry socket,শুষ্ক সকেট
dry unit,শুষ্ক ইউনিট
dry up,চুপ করা ; নীরব হওয়া
dry vermouth,ড্রাই ভার্মাউথ
dry wash,শুষ্ক ধোওয়া
dry weather,শুষ্ক আবহাওয়া
dry well,শুষ্ক ভাল
dry-bulb thermometer,শুষ্ক বাল্ব থার্মোমিটার
drying cabinet,শুকানোর মন্ত্রিসভা
drying chamber,শুকানোর চেম্বারের
drying floor,শোষক তল
drying house,শোষক ঘর
